Player Name,Matches Played,Runs Scored,Wickets Taken,Batting Average,Bowling Average,Strike Rate,Economy Rate,Team,Centuries,Half Centuries,Cathes,5 Wicket Hauls,Fours,Sixes,Run Out
Kevin Pietersen,24,2002,96,39.49,23.09,118.74,9.26,Sylhet Thunder,39,29,158,0,131,32,17
Kyle Mayers,85,2947,138,34.11,28.44,95.48,8.34,Rangpur Riders,28,15,107,0,83,24,42
Graeme Smith,30,2710,51,28.56,27.02,138.97,9.96,United Arab Emirates Falcons,20,10,68,0,129,98,17
Jacques Kallis,92,1137,42,52.45,23.06,125.2,4.89,Kandy Warriors,39,68,228,0,94,141,28
Rangana Herath,58,3935,129,42.19,27.96,141.42,27.49,Hobart Hurricanes,41,58,161,0,103,86,5
Brian Lara,70,12000,81,25.35,25.82,107.71,6.03,Kolkata Knight Riders,23,72,237,0,120,68,47
Tim Southee,85,300,420,40.26,22.34,83.82,7.92,Dhaka Dynamites,31,93,246,4,95,78,23
Jasprit Bumrah,69,503,385,34.39,28.85,65.02,4.63,Hong Kong Legends,7,58,52,2,128,32,14
Cameron Green,14,1376,120,23.94,20.32,148.86,9,Sri Lanka Legends,18,21,140,0,129,19,28
Allan Donald,70,2570,200,29.68,29.63,82.03,4.37,Netherlands Legends,42,52,249,0,106,21,43
Javed Miandad,93,1663,173,27.39,36.3,118.09,9.68,West Indies Legends,7,46,275,0,142,62,9
Tillakaratne Dilshan,36,503,13,44.97,39.53,104.59,6.03,Delhi Capitals,12,63,297,0,104,127,19
Sanath Jayasuriya,30,4801,164,59.18,31.21,134.65,9.68,Kolkata Knight Riders,4,68,48,0,100,16,24
Mohammad Azharuddin,62,3735,182,38.01,32.44,139.71,17.55,Namibia Legends,49,58,248,0,96,147,24
Ravindra Jadeja,72,2534,44,52.75,20.2,147.84,4.89,Hong Kong Legends,36,15,167,0,57,72,46
Shubman Gill,61,1445,59,36.11,36.83,126.06,8.69,Gujarat Titans,39,63,178,3,146,48,10
Brett Lee,20,2076,197,30.42,29.9,144.56,9.6,Southern Brave,14,38,43,0,65,105,49
Trent Boult,95,620,66,59.12,25.64,121.01,7.12,Punjab Kings,24,77,241,1,116,45,29
Rahul Dravid,99,15020,15,48.27,34.33,99.51,4.78,Southern Brave,26,76,155,0,91,16,44
Yuvraj Singh,51,2322,11,34.48,26.2,63.48,9.02,Kolkata Knight Riders,27,38,149,0,124,10,32
Mustafizur Rahman,38,3466,1,21.32,29.12,118.79,6.86,Sri Lanka Legends,18,44,261,5,56,17,35
Quinton de Kock,24,3710,31,38.9,26.51,124.21,8.93,New Zealand Legends,14,43,107,0,91,66,53
Glenn McGrath,42,1500,80,54.26,27.4,62.81,9.6,Ireland Legends,29,14,223,0,53,38,34
Dale Steyn,87,3467,64,39.56,30.04,111.81,4.22,Perth Scorchers,49,32,281,0,116,108,41
Shane Watson,34,3561,87,57.72,29.93,146.99,9.14,Zimbabwe Legends,48,20,291,0,117,131,4
James Anderson,64,4458,26,55.99,24.52,108,9.47,Oval Invincibles,4,41,193,0,78,142,11
Jermaine Blackwood,27,4177,58,58.18,27.59,131.77,4.56,Lucknow Super Giants,29,56,265,0,121,116,7
Chris Gayle,79,3605,181,26.16,20.72,117.09,5.28,Chennai Super Kings,50,10,272,0,133,141,18
Kumar Sangakkara,25,1955,124,59.68,23.36,115.75,4.57,Bangladesh Tigers,19,75,92,0,76,61,23
AB de Villiers,99,5500,60,35.01,20.04,121.05,6.31,Kolkata Knight Riders,24,88,105,0,98,75,30
Sourav Ganguly,51,4856,142,31.13,23.9,60.75,4.55,Australia Legends,4,49,249,0,51,40,23
Ravichandran Ashwin,52,826,38,37.57,38.9,122.34,5.04,USA Stars,17,91,295,0,74,109,3
Suresh Raina,63,4083,142,44.34,21.31,133.07,9.84,Perth Scorchers,7,80,48,0,142,87,27
MS Dhoni,31,2984,44,49.45,25.9,125.86,9.23,Deccan Chargers,49,53,59,0,89,50,31
Mushfiqur Rahim,28,2173,71,43.31,31.77,137.46,8.06,Southern Brave,27,31,229,0,60,118,49
Marlon Samuels,10,1424,28,32.3,25.28,141.4,4.73,Afghanistan Legends,5,52,135,0,144,50,41
Imran Khan,63,2497,82,27.67,36.24,144.8,5.28,Bangladesh Tigers,34,24,246,0,141,44,41
Kieron Pollard,20,2733,57,38.91,35.07,135.69,8.71,Kuwait Scorchers,35,93,222,0,61,103,4
Sachin Tendulkar,23,18500,61,22.48,27.84,117.55,9.38,Ireland Wolves,10,26,192,0,124,94,34
